Frequency(Hz)	Channel 1(V²)	
346.68	7.40305e-020	
347.656	4.67528e-020	
348.633	8.94364e-020	
349.609	9.38141e-019	
350.586	4.82752e-019	
351.563	5.14741e-019	
352.539	2.852e-019	
353.516	1.49119e-019	
354.492	1.33543e-018	
355.469	7.07796e-019	
356.445	1.64238e-019	
357.422	1.21874e-018	
358.398	1.07663e-018	
359.375	6.5569e-019	
360.352	2.92801e-019	
361.328	1.37906e-018	
362.305	2.81338e-019	
363.281	1.07706e-019	
364.258	7.66865e-019	
365.234	7.71841e-019	
366.211	1.12576e-019	
367.188	2.46911e-019	
368.164	9.33949e-019	
369.141	1.30279e-018	
370.117	6.35906e-019	
371.094	4.13946e-019	
372.07	3.10673e-020	
373.047	2.33549e-019	
374.023	1.49899e-019	
375	9.70235e-020	
375.977	1.84147e-019	
376.953	8.24185e-019	
377.93	5.8144e-019	
378.906	8.11093e-021	
379.883	1.15871e-019	
380.859	5.75237e-019	
381.836	1.29427e-018	
382.813	2.21823e-018	
383.789	1.59042e-018	
384.766	2.28313e-019	
385.742	2.08982e-019	
386.719	3.89798e-019	
387.695	5.86834e-019	
388.672	3.27426e-019	
389.648	5.57821e-019	
390.625	7.18211e-019	
391.602	1.67222e-019	
392.578	1.12272e-018	
393.555	9.11197e-019	
394.531	1.13645e-018	
395.508	8.41036e-019	
396.484	1.77092e-019	
397.461	2.44874e-020	
398.438	2.01797e-019	
399.414	1.25939e-019	
400.391	1.5868e-019	
401.367	1.14375e-018	
402.344	4.34413e-019	
403.32	2.25134e-019	
404.297	6.94769e-020	
405.273	2.50055e-019	
406.25	3.16806e-019	
407.227	1.00047e-018	
408.203	6.93402e-019	
409.18	1.10691e-019	
410.156	4.29253e-020	
411.133	3.26079e-020	
412.109	5.80461e-020	
413.086	1.6001e-019	
414.063	2.00722e-019	
415.039	1.7282e-020	
416.016	3.31049e-021	
416.992	7.40685e-020	
417.969	2.08226e-019	
418.945	8.53338e-020	
419.922	6.17394e-020	
420.898	3.80171e-019	
421.875	3.55929e-019	
422.852	3.55836e-020	
423.828	7.30134e-020	
424.805	2.47555e-019	
425.781	2.62461e-019	
426.758	7.15574e-020	
427.734	1.11195e-019	
428.711	9.42558e-020	
429.688	9.15883e-020	
430.664	7.29246e-020	
431.641	7.09897e-021	
432.617	9.91228e-020	
433.594	2.11922e-019	
434.57	3.85284e-020	
435.547	9.14321e-021	
436.523	6.71925e-022	
437.5	4.94151e-020	
438.477	7.81174e-020	
439.453	2.9831e-020	
440.43	3.39656e-021	
441.406	1.59204e-020	
442.383	8.50161e-020	
443.359	5.48316e-020	
444.336	1.43009e-019	
445.313	2.11706e-019	
446.289	1.3932e-019	
447.266	1.09847e-019	
448.242	1.44688e-019	
449.219	4.5427e-020	
450.195	9.89145e-020	
451.172	3.15017e-019	
452.148	6.38619e-020	
453.125	9.49569e-020	
454.102	4.55789e-020	
455.078	2.25669e-022	
456.055	1.13168e-020	
457.031	3.65942e-020	
458.008	2.25786e-020	
458.984	7.51221e-020	
459.961	3.5428e-021	
460.938	1.87508e-020	
461.914	7.13298e-020	
462.891	6.27842e-020	
463.867	6.62063e-021	
464.844	9.4134e-020	
465.82	3.34965e-019	
466.797	3.834e-019	
467.773	7.93184e-020	
468.75	5.46939e-021	
469.727	6.78925e-021	
470.703	1.13031e-020	
471.68	1.63886e-020	
472.656	1.73315e-020	
473.633	1.45613e-022	
474.609	3.32339e-021	
475.586	3.84878e-020	
476.563	5.4158e-020	
477.539	5.64764e-020	
478.516	3.09653e-020	
479.492	4.95445e-021	
480.469	2.66532e-020	
481.445	3.39657e-020	
482.422	1.38065e-020	
483.398	9.56099e-021	
484.375	3.39473e-020	
485.352	2.97686e-020	
486.328	7.39199e-022	
487.305	7.8025e-021	
488.281	1.13096e-020	
489.258	2.82021e-020	
490.234	2.46992e-020	
491.211	3.27436e-020	
492.188	2.27734e-020	
493.164	2.01959e-020	
494.141	1.17617e-019	
495.117	1.49174e-019	
496.094	7.51378e-020	
497.07	1.37738e-020	
498.047	2.05723e-020	
499.023	8.21001e-021	
500	1.03321e-022	
