Interval=	0.0025 s
ExcelDateTime=	4.4621650142538019e+004	3/1/2022 15:36:12.315285
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
1.7075	-16.8
1.71	-12.5
1.7125	4.4
1.715	17.1
1.7175	17.1
1.72	7.2
1.7225	-5.3
1.725	-7.1
1.7275	7.0
1.73	27.1
1.7325	41.9
1.735	38.8
1.7375	22.3
1.74	11.1
1.7425	9.6
1.745	20.2
1.7475	36.8
1.75	41.9
1.7525	31.0
1.755	14.0
1.7575	3.8
1.76	8.7
1.7625	27.2
1.765	43.2
1.7675	40.5
1.77	26.2
1.7725	11.9
1.775	6.2
1.7775	15.3
1.78	33.0
1.7825	43.0
1.785	32.9
1.7875	13.5
1.79	-0.6
1.7925	-1.1
1.795	10.5
1.7975	24.8
1.8	31.4
1.8025	22.7
1.805	5.3
1.8075	-6.6
1.81	-3.4
1.8125	12.1
1.815	27.3
1.8175	29.2
1.82	18.0
1.8225	4.4
1.825	-2.7
1.8275	2.4
1.83	18.3
1.8325	32.9
1.835	31.1
1.8375	14.2
1.84	-2.9
1.8425	-2.0
1.845	16.3
1.8475	33.5
1.85	37.5
1.8525	26.5
1.855	11.7
1.8575	4.5
1.86	8.5
1.8625	23.8
1.865	38.6
1.8675	39.2
1.87	26.9
1.8725	13.1
1.875	8.0
1.8775	15.1
1.88	30.3
1.8825	42.4
1.885	42.0
1.8875	26.7
1.89	8.8
1.8925	3.4
1.895	14.7
1.8975	35.3
1.9	41.8
1.9025	27.6
1.905	9.1
1.9075	-0.1
1.91	4.5
1.9125	18.8
1.915	30.6
1.9175	28.3
1.92	14.4
1.9225	-1.3
1.925	-7.6
1.9275	0.5
1.93	15.3
1.9325	26.8
1.935	24.3
1.9375	8.7
1.94	-4.4
1.9425	-5.0
1.945	5.9
1.9475	21.3
1.95	29.9
1.9525	22.4
1.955	7.1
1.9575	-0.9
1.96	3.8
1.9625	20.8
1.965	38.2
1.9675	42.2
1.97	30.4
1.9725	16.8
1.975	14.9
1.9775	23.2
1.98	37.0
1.9825	49.4
1.985	47.3
1.9875	29.8
1.99	12.6
1.9925	11.0
1.995	25.0
1.9975	37.5
2	38.7
2.0025	28.7
2.005	10.8
2.0075	-0.4
2.01	4.1
2.0125	16.7
2.015	27.5
2.0175	28.6
2.02	16.4
2.0225	2.1
2.025	-2.6
2.0275	5.1
2.03	21.0
2.0325	31.8
2.035	26.4
2.0375	12.5
2.04	2.7
2.0425	1.2
2.045	12.2
2.0475	28.1
2.05	34.1
2.0525	25.3
2.055	9.5
2.0575	-0.6
2.06	4.4
2.0625	19.4
2.065	29.4
2.0675	29.4
2.07	19.5
2.0725	5.4
2.075	-1.1
2.0775	4.6
2.08	16.7
2.0825	23.5
2.085	16.8
2.0875	4.4
2.09	-2.8
2.0925	-3.2
2.095	8.5
2.0975	23.9
2.1	27.5
2.1025	17.8
2.105	2.0
2.1075	-5.6
2.11	-0.2
2.1125	13.4
2.115	26.8
2.1175	27.3
2.12	15.1
2.1225	4.2
2.125	3.9
2.1275	12.7
2.13	24.2
2.1325	29.8
2.135	24.3
2.1375	14.9
2.14	6.7
2.1425	3.0
2.145	9.6
2.1475	20.7
2.15	23.6
2.1525	15.0
2.155	2.7
2.1575	-4.3
2.16	-2.9
2.1625	8.1
2.165	19.8
2.1675	18.9
2.17	9.7
2.1725	0.1
2.175	-3.4
2.1775	5.0
2.18	16.6
2.1825	22.8
2.185	21.5
2.1875	12.5
2.19	5.5
2.1925	8.5
2.195	20.1
2.1975	35.6
2.2	40.8
2.2025	31.9
2.205	21.4
2.2075	16.6
2.21	20.0
2.2125	27.7
2.215	34.8
2.2175	34.1
2.22	22.1
2.2225	10.4
2.225	6.4
2.2275	10.5
2.23	19.8
2.2325	25.2
2.235	20.3
2.2375	7.6
2.24	-2.7
2.2425	-2.9
2.245	4.5
2.2475	13.2
2.25	16.5
2.2525	10.6
2.255	0.8
2.2575	-4.8
2.26	-3.2
2.2625	9.6
2.265	24.0
2.2675	25.2
2.27	16.9
2.2725	5.4
2.275	2.0
2.2775	9.7
2.28	19.8
2.2825	26.2
2.285	23.3
2.2875	13.1
2.29	3.3
2.2925	5.3
2.295	15.4
2.2975	26.0
2.3	31.6
2.3025	25.2
2.305	10.9
2.3075	2.5
2.31	8.9
2.3125	21.3
2.315	30.1
2.3175	27.9
2.32	15.8
2.3225	4.6
2.325	-0.8
2.3275	2.3
2.33	13.6
2.3325	22.7
2.335	20.5
2.3375	9.2
2.34	1.9
2.3425	5.3
2.345	13.3
2.3475	22.1
2.35	26.1
2.3525	17.9
2.355	6.4
2.3575	2.1
2.36	4.4
2.3625	13.4
2.365	21.4
2.3675	17.0
2.37	4.6
