Interval=	0.0025 s
ExcelDateTime=	4.4620597823331671e+004	2/28/2022 14:20:51.935856
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	1000.0 µV
1.795	0.4
1.7975	-16.6
1.8	-4.6
1.8025	7.0
1.805	-8.7
1.8075	-22.1
1.81	-23.5
1.8125	-21.9
1.815	-12.1
1.8175	-5.5
1.82	-4.8
1.8225	-0.1
1.825	4.7
1.8275	-0.4
1.83	-10.0
1.8325	-11.6
1.835	-9.3
1.8375	-11.8
1.84	-14.3
1.8425	-12.2
1.845	-7.2
1.8475	-2.3
1.85	-2.8
1.8525	-4.3
1.855	2.6
1.8575	7.5
1.86	6.9
1.8625	9.3
1.865	7.4
1.8675	4.3
1.87	5.8
1.8725	8.1
1.875	9.3
1.8775	5.7
1.88	3.1
1.8825	-2.9
1.885	-9.5
1.8875	-3.8
1.89	3.2
1.8925	0.5
1.895	-7.1
1.8975	-9.2
1.9	-8.5
1.9025	-8.9
1.905	-5.5
1.9075	-6.2
1.91	-6.3
1.9125	-5.6
1.915	-10.8
1.9175	-8.5
1.92	-2.5
1.9225	-0.8
1.925	-3.7
1.9275	-11.6
1.93	-10.4
1.9325	-3.6
1.935	-6.8
1.9375	-9.2
1.94	-6.3
1.9425	-6.8
1.945	-8.1
1.9475	-3.5
1.95	1.1
1.9525	-0.9
1.955	-3.9
1.9575	-2.6
1.96	-3.5
1.9625	-11.0
1.965	-13.3
1.9675	-7.3
1.97	-5.7
1.9725	-7.6
1.975	-7.2
1.9775	-9.2
1.98	-7.0
1.9825	4.2
1.985	7.3
1.9875	6.6
1.99	5.5
1.9925	-0.7
1.995	0.9
1.9975	2.9
2	-1.8
2.0025	-3.5
2.005	-3.2
2.0075	-1.1
2.01	8.0
2.0125	7.1
2.015	-0.4
2.0175	0.6
2.02	3.1
2.0225	3.1
2.025	1.4
2.0275	-3.3
2.03	-5.0
2.0325	2.2
2.035	10.2
2.0375	11.6
2.04	8.1
2.0425	-1.3
2.045	-4.8
2.0475	7.3
2.05	14.6
2.0525	8.1
2.055	0.0
2.0575	3.0
2.06	7.9
2.0625	5.1
2.065	7.8
2.0675	16.6
2.07	18.2
2.0725	13.1
2.075	6.3
2.0775	0.3
2.08	0.2
2.0825	2.5
2.085	2.9
2.0875	-0.5
2.09	-0.8
2.0925	3.0
2.095	1.1
2.0975	-0.8
2.1	-0.2
2.1025	1.0
2.105	6.2
2.1075	8.3
2.11	10.9
2.1125	12.1
2.115	5.1
2.1175	8.5
2.12	13.3
2.1225	17.8
2.125	12.6
2.1275	6.3
2.13	6.0
2.1325	-8.2
2.135	-2.4
2.1375	6.6
2.14	-0.4
2.1425	-1.2
2.145	-1.3
2.1475	-3.1
2.15	-7.2
2.1525	-10.3
2.155	-9.8
2.1575	-8.5
2.16	-3.2
2.1625	4.5
2.165	2.1
2.1675	-7.4
2.17	-13.3
2.1725	-15.5
2.175	-8.7
2.1775	-5.5
2.18	-7.5
2.1825	-7.0
2.185	-8.3
2.1875	-6.8
2.19	-5.8
2.1925	-2.2
2.195	-3.6
2.1975	-9.0
2.2	-8.6
2.2025	-6.9
2.205	-7.8
2.2075	-16.6
2.21	-17.7
2.2125	-10.6
2.215	-8.7
2.2175	-7.3
2.22	-2.9
2.2225	1.9
2.225	2.2
2.2275	1.8
2.23	4.8
2.2325	9.6
2.235	10.6
2.2375	10.1
2.24	10.9
2.2425	0.0
2.245	-6.7
2.2475	-0.5
2.25	-0.8
2.2525	-1.2
2.255	4.5
2.2575	10.0
2.26	3.9
2.2625	-4.9
2.265	-3.3
2.2675	-2.5
2.27	-4.9
2.2725	-9.6
2.275	-11.4
2.2775	-5.1
2.28	-5.3
2.2825	-12.3
2.285	-9.1
2.2875	-3.5
2.29	-2.2
2.2925	0.9
2.295	2.6
2.2975	-1.7
2.3	-3.4
2.3025	-10.1
2.305	-22.2
2.3075	-18.3
2.31	-9.2
2.3125	-7.3
2.315	-4.2
2.3175	-4.0
2.32	-10.3
2.3225	-14.5
2.325	-10.0
2.3275	-9.9
2.33	-18.4
2.3325	-13.1
2.335	-4.5
2.3375	-6.4
2.34	-3.8
2.3425	-0.6
2.345	-2.3
2.3475	-1.0
2.35	1.1
2.3525	3.3
2.355	4.3
2.3575	1.4
2.36	-0.3
2.3625	0.5
2.365	-3.5
2.3675	-3.9
2.37	2.9
2.3725	2.0
2.375	-2.6
2.3775	-2.8
2.38	2.4
2.3825	7.1
2.385	6.5
2.3875	7.7
2.39	9.7
2.3925	5.3
2.395	2.6
2.3975	2.1
2.4	-2.7
2.4025	-3.6
2.405	-0.6
2.4075	2.1
2.41	6.2
2.4125	9.4
2.415	9.2
2.4175	8.8
2.42	12.1
2.4225	12.7
2.425	8.7
2.4275	5.6
2.43	6.8
2.4325	11.0
2.435	13.4
2.4375	12.7
2.44	10.9
2.4425	10.4
2.445	10.4
2.4475	10.3
2.45	9.3
2.4525	9.8
2.455	14.3
2.4575	17.6
2.46	16.7
2.4625	13.1
2.465	6.9
2.4675	4.5
2.47	3.2
2.4725	5.1
2.475	8.1
2.4775	4.6
2.48	6.1
2.4825	11.0
2.485	14.6
2.4875	17.9
2.49	9.9
2.4925	-4.2
2.495	0.1
2.4975	12.7
2.5	5.3
2.5025	0.9
2.505	1.8
2.5075	-5.1
2.51	-1.1
2.5125	6.3
2.515	5.8
2.5175	5.1
2.52	1.3
2.5225	-1.5
2.525	4.5
2.5275	2.3
2.53	-5.5
2.5325	-2.0
2.535	6.5
2.5375	4.4
2.54	-2.2
2.5425	-0.4
2.545	4.8
2.5475	4.1
2.55	0.5
2.5525	1.6
2.555	5.1
2.5575	4.8
2.56	5.5
2.5625	10.4
2.565	10.7
2.5675	6.8
2.57	2.9
2.5725	3.0
2.575	2.3
2.5775	-1.8
2.58	3.4
2.5825	9.3
2.585	5.0
2.5875	0.0
2.59	2.1
2.5925	8.3
2.595	6.7
2.5975	3.4
2.6	7.3
2.6025	10.4
2.605	7.0
2.6075	-1.2
2.61	-4.8
2.6125	-1.1
2.615	5.4
2.6175	6.0
2.62	4.3
2.6225	6.1
2.625	3.3
2.6275	-4.8
